#{"t_start": 1709585915.4082618, "env_id": "FrozenLake-v1"}
r,l,t
0.0,27,30.258369
0.0,5,30.259516
0.0,7,30.261
0.0,13,30.263241
0.0,16,30.265923
0.0,10,30.268168
0.0,20,30.271715
0.0,14,30.277222
0.0,30,30.284206
0.0,9,30.286179
0.0,18,30.290073
0.0,9,30.291716
0.0,5,30.292809
0.0,9,30.294263
0.0,23,30.298822
0.0,2,30.298949
0.0,10,30.300546
0.0,14,30.302948
0.0,16,30.305916
0.0,9,30.307493
0.0,9,30.309171
0.0,9,32.195671
0.0,14,32.198901
0.0,22,32.202889
0.0,4,32.203727
0.0,15,32.206555
0.0,2,32.206703
0.0,15,32.210034
0.0,21,32.214467
1.0,19,32.218039
0.0,21,32.222262
0.0,33,32.229781
0.0,4,32.230853
0.0,9,32.233382
0.0,32,32.249389
1.0,10,32.256994
0.0,17,32.268432
0.0,2,32.270603
0.0,23,34.076034
0.0,80,34.089999
0.0,11,34.091977
1.0,20,34.096042
0.0,2,34.096181
0.0,10,34.097589
0.0,25,34.102549
1.0,50,34.119432
0.0,21,34.126135
1.0,11,34.130929
0.0,25,36.112704
0.0,18,36.116581
0.0,8,36.118052
0.0,2,36.1182
1.0,41,36.126031
0.0,24,36.131166
0.0,13,36.133466
0.0,19,36.137929
0.0,16,36.140872
0.0,16,36.144132
0.0,5,36.145321
0.0,26,36.150223
1.0,65,38.010136
0.0,17,38.013841
0.0,39,38.022193
0.0,15,38.025085
0.0,44,38.034244
0.0,26,38.040198
1.0,13,38.042923
0.0,80,38.059413
0.0,8,38.061331
1.0,34,40.015692
0.0,24,40.020348
0.0,14,40.02269
0.0,28,40.028242
0.0,7,40.029766
1.0,13,40.032314
0.0,10,40.033924
1.0,14,40.036944
0.0,11,40.039257
0.0,3,40.040071
0.0,20,40.044467
0.0,15,40.047233
0.0,7,40.049545
0.0,3,40.049911
1.0,64,41.954133
0.0,11,41.956451
0.0,9,41.963579
1.0,51,41.974146
0.0,6,41.97498
0.0,64,41.989577
1.0,19,41.993559
0.0,30,42.000371
0.0,21,42.004868
0.0,10,42.007166
1.0,18,42.011621
0.0,11,42.013684
1.0,29,43.892453
0.0,17,43.895582
0.0,24,43.900121
0.0,9,43.902262
0.0,27,43.907524
0.0,29,43.913796
1.0,28,43.920036
1.0,48,43.929939
0.0,6,43.930838
0.0,12,43.933738
1.0,12,43.938518
1.0,26,45.876416
0.0,29,45.882486
0.0,34,45.889912
0.0,5,45.890902
0.0,10,45.892783
0.0,28,45.899976
0.0,27,45.905335
0.0,60,45.919999
0.0,3,45.920616
0.0,77,47.902678
1.0,17,47.906192
1.0,14,47.909367
1.0,13,47.913202
0.0,16,47.917054
0.0,9,47.920575
1.0,52,47.935145
0.0,50,47.948572
