#{"t_start": 1709585798.8544502, "env_id": "FrozenLake-v1"}
r,l,t
1.0,26,5.138675
1.0,29,5.159315
0.0,100,5.229728
1.0,10,5.236583
1.0,10,5.243283
0.0,26,5.26043
0.0,100,5.33386
0.0,54,5.370705
0.0,29,5.390579
0.0,57,5.430126
1.0,21,5.443995
1.0,18,5.456832
0.0,41,5.487662
1.0,10,5.494584
1.0,40,5.522372
1.0,77,5.5838
1.0,62,5.626829
1.0,59,5.670355
0.0,54,5.708059
1.0,13,5.715961
0.0,22,5.732456
1.0,49,5.766475
1.0,55,5.803704
1.0,11,5.812984
1.0,22,5.827141
1.0,32,5.849998
1.0,54,5.889263
1.0,52,5.925982
1.0,26,5.943658
1.0,92,6.010465
1.0,19,6.023998
1.0,13,6.033381
0.0,12,6.041601
1.0,35,6.065459
1.0,21,6.081118
0.0,26,6.100115
1.0,38,6.131122
0.0,90,6.194552
0.0,100,6.263851
1.0,24,6.280499
0.0,29,6.302641
0.0,13,6.310481
0.0,20,6.324327
0.0,23,6.341084
1.0,75,6.395233
1.0,16,6.405709
1.0,11,6.412958
1.0,12,6.422202
1.0,22,6.436982
1.0,7,6.441129
1.0,37,6.467326
1.0,99,6.533938
1.0,98,6.59926
0.0,27,6.618418
1.0,13,6.626135
1.0,34,6.649568
1.0,39,6.676232
1.0,36,6.702882
1.0,46,6.735497
1.0,50,6.772696
0.0,100,6.841026
1.0,43,6.871198
0.0,100,6.940138
1.0,62,6.981507
1.0,62,7.025783
1.0,10,7.032554
1.0,16,7.043433
1.0,67,7.091163
1.0,21,7.105424
1.0,23,7.122833
1.0,39,7.150548
0.0,28,7.168906
1.0,83,7.225877
1.0,81,7.280525
1.0,30,7.301253
1.0,82,7.359583
1.0,16,7.371841
1.0,35,7.397514
0.0,23,7.412746
1.0,24,7.42912
1.0,34,7.452322
0.0,100,7.52122
1.0,11,7.528488
1.0,85,7.585693
1.0,12,7.594635
1.0,12,7.602198
1.0,9,7.608532
0.0,100,7.677201
1.0,54,7.715046
1.0,41,7.744627
0.0,8,7.749587
1.0,41,7.779236
1.0,22,7.793484
1.0,8,7.799688
1.0,25,7.816425
1.0,15,7.826672
1.0,40,7.853242
0.0,97,7.919641
0.0,63,7.963761
1.0,56,8.001529
0.0,44,8.032819
1.0,11,8.040114
0.0,29,8.059976
1.0,53,8.100684
0.0,62,8.143996
1.0,20,8.157658
1.0,16,8.168648
1.0,34,8.201462
1.0,76,8.253596
0.0,43,8.279998
0.0,19,8.292282
0.0,29,8.311091
1.0,26,8.327585
1.0,40,8.353186
1.0,60,8.391421
0.0,100,8.459896
1.0,50,8.495081
0.0,26,8.512537
1.0,100,8.580924
1.0,13,8.591048
1.0,68,8.637666
1.0,26,8.654846
1.0,22,8.672518
1.0,50,8.706195
0.0,80,8.760649
0.0,48,8.795535
1.0,96,8.861728
1.0,14,8.871174
1.0,46,8.901064
1.0,67,8.945716
0.0,100,9.015247
0.0,37,9.042351
0.0,10,9.04916
1.0,53,9.084489
0.0,15,9.094579
0.0,34,9.118645
1.0,32,9.144014
0.0,35,9.169674
1.0,23,9.185498
0.0,21,9.200958
1.0,12,9.210813
1.0,8,9.215831
1.0,9,9.222551
0.0,20,9.236723
0.0,83,9.295939
0.0,61,9.33971
1.0,30,9.361205
1.0,38,9.389313
0.0,48,9.422698
1.0,91,9.489184
0.0,55,9.528869
1.0,49,9.5644
1.0,78,9.619666
1.0,9,9.626411
1.0,93,9.690264
0.0,100,9.760216
1.0,16,9.771044
0.0,12,9.780625
1.0,84,9.842261
0.0,16,9.854498
1.0,28,9.87451
1.0,22,9.891396
1.0,21,9.906687
0.0,61,9.949778
1.0,14,9.96015
1.0,18,9.973725
0.0,22,9.988708
1.0,46,10.020633
1.0,86,10.089858
1.0,18,10.102821
0.0,69,10.151964
1.0,53,10.18718
0.0,100,10.256835
0.0,23,10.273094
1.0,50,10.306716
1.0,21,10.320785
1.0,22,10.337199
1.0,31,10.357897
1.0,7,10.362029
1.0,85,10.420284
1.0,61,10.463225
1.0,21,10.479362
0.0,33,10.502194
1.0,50,10.537915
1.0,13,10.548649
1.0,10,10.566032
1.0,32,10.596072
1.0,25,10.614611
1.0,50,10.652846
1.0,66,10.702741
1.0,38,10.728942
1.0,42,10.756836
1.0,18,10.769541
0.0,32,10.791183
0.0,92,10.855465
1.0,16,10.86631
1.0,41,10.894631
0.0,14,10.904432
1.0,41,10.934033
0.0,81,10.990412
1.0,23,11.006644
1.0,66,11.056432
0.0,13,11.066722
1.0,92,11.131579
1.0,40,11.158654
1.0,39,11.185411
1.0,19,11.198573
0.0,14,11.208412
0.0,100,11.279337
0.0,62,11.324419
1.0,73,11.375401
1.0,14,11.384489
1.0,14,11.394659
0.0,65,11.439051
1.0,15,11.449203
1.0,40,11.47693
0.0,63,11.520288
0.0,57,11.558644
0.0,25,11.575693
1.0,12,11.585316
1.0,33,11.607577
0.0,84,11.66825
1.0,14,11.677968
0.0,22,11.692302
0.0,25,11.70999
1.0,10,11.71669
1.0,78,11.770371
1.0,13,11.77807
1.0,22,11.794076
0.0,100,11.8626
1.0,42,11.890422
1.0,32,11.913127
1.0,21,11.92717
1.0,27,11.944806
1.0,11,11.952031
0.0,100,12.025745
1.0,36,12.052705
1.0,32,12.073787
0.0,17,12.084703
1.0,12,12.093704
1.0,11,12.101056
0.0,24,12.117533
1.0,75,12.16923
0.0,31,12.190494
1.0,14,12.200411
1.0,12,12.207857
1.0,9,12.214343
0.0,64,12.259509
1.0,68,12.30452
1.0,46,12.33839
1.0,64,12.380115
0.0,35,12.403731
1.0,9,12.410235
1.0,29,12.43047
1.0,14,12.440318
0.0,100,12.508014
1.0,66,12.553136
1.0,20,12.566745
0.0,100,12.632148
1.0,17,12.642677
1.0,65,12.689456
1.0,12,12.698856
1.0,24,12.715907
1.0,30,12.736229
0.0,53,12.771058
1.0,33,12.794385
1.0,40,12.821358
0.0,42,12.849314
0.0,16,12.859887
1.0,85,12.918044
1.0,63,12.962364
1.0,15,12.972588
0.0,30,12.996662
0.0,100,13.08077
1.0,10,13.08791
0.0,55,13.12722
1.0,13,13.136629
0.0,72,13.184798
1.0,16,13.195342
0.0,18,13.208331
1.0,43,13.237606
0.0,100,13.306411
0.0,35,13.332595
1.0,22,13.348409
0.0,100,13.422616
0.0,29,13.443432
0.0,73,13.493222
1.0,16,13.503723
0.0,58,13.545031
1.0,18,13.558546
1.0,27,13.576749
0.0,71,13.626348
1.0,38,13.655062
0.0,11,13.662674
1.0,28,13.684035
0.0,81,13.767486
1.0,57,13.811891
0.0,100,13.882849
1.0,25,13.900851
0.0,15,13.911013
0.0,14,13.920931
1.0,40,13.949457
1.0,36,13.975789
0.0,10,13.982768
1.0,37,14.008958
1.0,43,14.037494
1.0,26,14.055143
1.0,19,14.069262
0.0,36,14.094499
1.0,38,14.12431
1.0,30,14.144782
0.0,100,14.219713
1.0,11,14.228109
0.0,11,14.235443
1.0,38,14.262999
1.0,21,14.277135
1.0,82,14.335657
1.0,28,14.354031
0.0,41,14.382302
1.0,25,14.40029
1.0,32,14.423676
1.0,61,14.46758
1.0,67,14.516768
1.0,61,14.562073
1.0,34,14.58498
1.0,47,14.61955
0.0,16,14.630562
1.0,39,14.65922
0.0,100,14.731646
1.0,49,14.768247
1.0,60,14.811026
1.0,35,14.837442
1.0,13,14.84635
1.0,43,14.878104
1.0,38,14.904855
1.0,25,14.923012
0.0,88,14.987667
1.0,9,14.994509
1.0,48,15.027888
1.0,29,15.049826
1.0,39,15.0784
1.0,60,15.122164
1.0,25,15.14032
1.0,55,15.180554
1.0,29,15.204703
1.0,79,15.261468
1.0,59,15.302094
0.0,100,15.370442
1.0,27,15.392226
1.0,44,15.424085
1.0,15,15.43443
1.0,55,15.475104
1.0,26,15.492448
1.0,21,15.506162
1.0,34,15.531166
1.0,17,15.542057
0.0,22,15.56094
1.0,78,15.613568
1.0,15,15.624385
1.0,19,15.637781
1.0,8,15.644448
1.0,45,15.676545
0.0,81,15.734277
0.0,79,15.791437
0.0,100,15.862154
1.0,14,15.870924
0.0,100,15.943289
1.0,61,15.98921
1.0,58,16.029291
1.0,6,16.033075
1.0,73,16.084127
0.0,13,16.093827
1.0,17,16.10478
0.0,43,16.135358
1.0,42,16.164567
1.0,54,16.20204
1.0,39,16.228495
1.0,42,16.256241
1.0,41,16.286224
1.0,86,16.344126
0.0,31,16.367237
1.0,78,16.428274
1.0,32,16.451676
1.0,34,16.473113
0.0,76,16.525929
1.0,32,16.547019
1.0,72,16.598048
1.0,25,16.615959
1.0,47,16.651612
1.0,27,16.668276
1.0,13,16.677427
1.0,82,16.733377
0.0,98,16.802578
0.0,44,16.83401
1.0,11,16.841342
1.0,35,16.865961
0.0,69,16.915894
1.0,19,16.927386
1.0,33,16.950697
1.0,12,16.958455
0.0,71,17.011159
1.0,14,17.019449
1.0,99,17.088724
1.0,25,17.104693
1.0,22,17.119783
1.0,16,17.129716
0.0,10,17.13704
1.0,50,17.17175
1.0,28,17.189719
0.0,100,17.258821
1.0,25,17.276148
1.0,9,17.282589
1.0,22,17.298611
0.0,47,17.331393
0.0,13,17.340724
1.0,7,17.34479
1.0,23,17.36238
0.0,29,17.38146
1.0,97,17.449979
1.0,33,17.471801
0.0,17,17.484297
1.0,9,17.490665
0.0,42,17.518067
1.0,9,17.525185
1.0,35,17.549485
1.0,45,17.579103
1.0,9,17.58549
1.0,54,17.621521
0.0,100,17.697448
1.0,36,17.724734
1.0,26,17.742727
1.0,25,17.760307
0.0,23,17.775052
1.0,30,17.795699
0.0,40,17.823132
1.0,16,17.835237
1.0,29,17.857465
1.0,27,17.876674
1.0,9,17.883224
1.0,38,17.908181
1.0,53,17.94476
0.0,33,17.966887
1.0,9,17.973432
0.0,28,17.994409
1.0,41,18.024708
1.0,43,18.055251
0.0,34,18.077208
1.0,49,18.111108
1.0,11,18.118227
1.0,62,18.162272
0.0,30,18.184479
1.0,48,18.216397
1.0,22,18.231785
1.0,15,18.242406
0.0,18,18.253554
0.0,24,18.272279
1.0,14,18.282902
1.0,47,18.314821
1.0,50,18.348753
1.0,16,18.361211
1.0,47,18.395413
1.0,43,18.427177
1.0,46,18.460192
1.0,23,18.474928
1.0,77,18.529476
1.0,48,18.564603
1.0,30,18.594996
0.0,21,18.61764
1.0,28,18.648198
0.0,23,18.668829
0.0,100,18.758511
1.0,59,18.804617
1.0,44,18.833328
1.0,44,18.864659
0.0,12,18.873725
0.0,18,18.884976
0.0,50,18.918685
0.0,17,18.931167
1.0,24,18.947735
1.0,21,18.963617
0.0,100,19.031506
1.0,63,19.074933
1.0,23,19.091889
1.0,40,19.120067
1.0,39,19.152534
0.0,39,19.18131
1.0,28,19.201932
1.0,40,19.229391
1.0,24,19.246619
1.0,49,19.284121
