#{"t_start": 1709585854.7692878, "env_id": "FrozenLake-v1"}
r,l,t
0.0,12,1.619988
0.0,3,1.620229
0.0,4,1.620597
0.0,7,1.621833
0.0,3,1.622232
0.0,7,1.623169
0.0,3,1.623323
0.0,6,1.623857
1.0,13,1.625628
0.0,8,1.626859
0.0,10,1.627901
0.0,47,1.762001
0.0,16,1.764068
0.0,11,1.765218
0.0,24,1.767696
0.0,8,1.768513
0.0,5,1.769381
0.0,7,1.77001
0.0,7,1.770986
0.0,22,1.77306
0.0,3,1.773639
0.0,4,1.774007
0.0,8,1.775218
0.0,8,1.776157
0.0,2,1.776425
0.0,9,1.777552
1.0,21,1.779571
0.0,3,1.779825
0.0,7,1.780751
0.0,11,1.781713
0.0,32,1.784387
0.0,6,1.785319
0.0,2,1.785566
0.0,9,1.923926
0.0,16,1.925868
0.0,4,1.926543
0.0,4,1.927125
1.0,23,1.92957
0.0,7,1.930381
0.0,18,1.931984
0.0,5,1.932703
0.0,6,1.933597
0.0,4,1.933899
0.0,11,1.935148
0.0,24,1.937426
0.0,18,1.939149
0.0,11,1.940396
0.0,3,1.940654
0.0,12,1.941799
0.0,7,1.942327
0.0,6,1.943041
0.0,17,1.944957
0.0,10,1.946221
0.0,27,1.948621
0.0,11,1.949509
0.0,5,2.08037
0.0,11,2.082028
0.0,6,2.082547
0.0,2,2.082992
0.0,14,2.084562
0.0,7,2.085578
0.0,2,2.085811
0.0,5,2.08635
0.0,8,2.087223
0.0,4,2.088006
0.0,13,2.089572
0.0,12,2.091024
0.0,22,2.09339
0.0,2,2.093804
0.0,3,2.094483
1.0,16,2.096081
0.0,6,2.096916
0.0,2,2.09731
0.0,14,2.099317
0.0,7,2.100048
0.0,2,2.100165
0.0,5,2.100997
0.0,5,2.101507
0.0,4,2.10191
0.0,13,2.103066
0.0,6,2.104137
0.0,2,2.104365
0.0,4,2.104648
0.0,31,2.108133
0.0,13,2.110092
0.0,8,2.111175
0.0,14,2.23942
0.0,3,2.239595
