#{"t_start": 1709584978.641116, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,134.449911
-13.0,13,134.45307
-15.0,15,134.456966
-15.0,15,134.46071
-13.0,13,134.464044
-13.0,13,134.467901
-13.0,13,136.257526
-13.0,13,136.261044
-13.0,13,136.265639
-13.0,13,136.26931
-13.0,13,136.275843
-13.0,13,136.280022
-13.0,13,136.283276
-115.0,16,136.286774
-121.0,22,136.292578
-228.0,30,136.300374
-13.0,13,136.303533
-15.0,15,136.306953
-13.0,13,136.310763
-15.0,15,136.314822
-13.0,13,136.318632
-15.0,15,136.322249
-13.0,13,136.325522
-15.0,15,138.167624
-13.0,13,138.17044
-13.0,13,138.173121
-13.0,13,138.176785
-126.0,27,138.183413
-13.0,13,138.187395
-13.0,13,138.192061
-13.0,13,138.195742
-13.0,13,138.199837
-13.0,13,138.203635
-13.0,13,138.207161
-13.0,13,138.211037
-13.0,13,138.214841
-121.0,22,138.220815
-13.0,13,138.224372
-13.0,13,138.228113
-15.0,15,138.232731
-13.0,13,138.236144
-15.0,15,139.921794
-17.0,17,139.925445
-15.0,15,139.92882
-13.0,13,139.931641
-13.0,13,139.934444
-13.0,13,139.937272
-13.0,13,139.940286
-13.0,13,139.943406
-124.0,25,139.949132
-13.0,13,139.952574
-13.0,13,139.956042
-13.0,13,139.958954
-13.0,13,139.963986
-15.0,15,139.968715
-13.0,13,139.972303
-13.0,13,139.975754
-13.0,13,139.979367
-13.0,13,139.983631
-15.0,15,141.810696
-13.0,13,141.813766
-13.0,13,141.816585
-15.0,15,141.819902
-117.0,18,141.823609
-13.0,13,141.827148
-13.0,13,141.830086
-13.0,13,141.834609
-13.0,13,141.838264
-13.0,13,141.841019
-118.0,19,141.844872
-120.0,21,141.853724
-15.0,15,141.862303
-13.0,13,141.870347
-13.0,13,141.878067
-13.0,13,141.885041
-13.0,13,141.889392
-13.0,13,143.70331
-13.0,13,143.706323
-13.0,13,143.709486
-13.0,13,143.712509
-15.0,15,143.71562
-13.0,13,143.719028
-124.0,25,143.724643
-13.0,13,143.72757
-122.0,23,143.733837
-13.0,13,143.73667
-13.0,13,143.739608
-124.0,25,143.746084
-17.0,17,143.751605
-115.0,16,143.755074
-13.0,13,143.758178
-13.0,13,143.761576
-13.0,13,143.764592
-13.0,13,145.438431
-13.0,13,145.442106
-13.0,13,145.445622
-13.0,13,145.448874
-17.0,17,145.453092
-13.0,13,145.456583
-17.0,17,145.4615
-13.0,13,145.465042
-17.0,17,145.469738
-13.0,13,145.473346
-13.0,13,145.477535
-13.0,13,145.481229
-13.0,13,145.485113
-13.0,13,145.48873
-13.0,13,145.492981
-13.0,13,145.496474
-13.0,13,145.500771
-119.0,20,145.506534
-13.0,13,147.286551
-13.0,13,147.289449
-122.0,23,147.294098
-13.0,13,147.296946
-13.0,13,147.300098
-15.0,15,147.303588
-15.0,15,147.307156
-13.0,13,147.310714
-13.0,13,147.314497
-13.0,13,147.3185
-16.0,16,147.322034
-221.0,23,147.327193
-15.0,15,147.330363
-120.0,21,147.334718
-13.0,13,147.339166
-124.0,25,147.345267
-13.0,13,149.06907
-13.0,13,149.072701
-15.0,15,149.075743
-13.0,13,149.078444
-15.0,15,149.08256
-13.0,13,149.086036
-13.0,13,149.089652
-18.0,18,149.093991
-15.0,15,149.099543
-122.0,23,149.1059
-13.0,13,149.108828
-15.0,15,149.112306
-15.0,15,149.115654
-13.0,13,149.118971
-13.0,13,149.121993
-13.0,13,149.124841
-13.0,13,149.128462
-13.0,13,149.131156
-15.0,15,150.888983
-15.0,15,150.892489
-119.0,20,150.897185
-13.0,13,150.899973
-14.0,14,150.903692
-13.0,13,150.906873
-13.0,13,150.911006
-13.0,13,150.914637
-13.0,13,150.918071
-14.0,14,150.921451
-113.0,14,150.925306
-13.0,13,150.928511
-13.0,13,150.931366
-13.0,13,150.934623
-13.0,13,150.93772
-13.0,13,150.943049
-15.0,15,150.946459
-15.0,15,150.94967
-124.0,25,152.731614
-116.0,17,152.735012
-13.0,13,152.73798
-13.0,13,152.740658
-117.0,18,152.744674
