#{"t_start": 1709584918.2221575, "env_id": "CliffWalking-v0"}
r,l,t
-17.0,17,7.141788
-13.0,13,7.143867
-15.0,15,7.146267
-13.0,13,7.148177
-13.0,13,7.150208
-13.0,13,7.152194
-13.0,13,7.154492
-13.0,13,7.156383
-13.0,13,7.158586
-13.0,13,7.160328
-13.0,13,7.162616
-13.0,13,7.164397
-13.0,13,7.166683
-13.0,13,7.303815
-13.0,13,7.306152
-13.0,13,7.308512
-13.0,13,7.310982
-13.0,13,7.313121
-13.0,13,7.315658
-222.0,24,7.319488
-13.0,13,7.322208
-13.0,13,7.324972
-13.0,13,7.327332
-13.0,13,7.329513
-13.0,13,7.331946
-13.0,13,7.334297
-13.0,13,7.336626
-13.0,13,7.338662
-15.0,15,7.341457
-13.0,13,7.343512
-13.0,13,7.345836
-13.0,13,7.348299
-13.0,13,7.487077
-13.0,13,7.489275
-13.0,13,7.491606
-13.0,13,7.493681
-13.0,13,7.496
-13.0,13,7.498343
-13.0,13,7.500713
-13.0,13,7.502853
-230.0,32,7.508242
-13.0,13,7.51081
-13.0,13,7.512925
-13.0,13,7.51496
-13.0,13,7.51759
-13.0,13,7.519749
-13.0,13,7.522289
-13.0,13,7.524356
-13.0,13,7.526861
-13.0,13,7.528909
-15.0,15,7.674283
-17.0,17,7.676881
-13.0,13,7.679522
-13.0,13,7.681702
-118.0,19,7.684919
-13.0,13,7.687055
-13.0,13,7.689919
-15.0,15,7.692825
-13.0,13,7.694976
-13.0,13,7.697097
-15.0,15,7.699975
-13.0,13,7.702209
-13.0,13,7.704692
-13.0,13,7.706909
-13.0,13,7.709403
-13.0,13,7.711614
-13.0,13,7.714584
-13.0,13,7.716931
-13.0,13,7.860465
-13.0,13,7.863103
-15.0,15,7.865437
-113.0,14,7.86789
-13.0,13,7.870337
-13.0,13,7.872501
-17.0,17,7.875328
-13.0,13,7.877454
-121.0,22,7.881261
-13.0,13,7.883788
-13.0,13,7.885948
-15.0,15,7.888325
-13.0,13,7.891036
-13.0,13,7.893153
-13.0,13,7.895295
-13.0,13,7.897646
-15.0,15,7.900293
-13.0,13,7.902361
-13.0,13,7.904723
-13.0,13,8.055333
-13.0,13,8.057788
-13.0,13,8.060157
-13.0,13,8.06228
-120.0,21,8.065599
-13.0,13,8.068535
-13.0,13,8.071163
-15.0,15,8.073811
-13.0,13,8.075964
-13.0,13,8.078625
-13.0,13,8.081334
-13.0,13,8.083627
-13.0,13,8.086185
-13.0,13,8.088981
-13.0,13,8.091176
-15.0,15,8.093774
-15.0,15,8.096202
-15.0,15,8.099507
-13.0,13,8.237265
-13.0,13,8.239337
-13.0,13,8.241507
-13.0,13,8.243643
-13.0,13,8.245532
-13.0,13,8.247608
-13.0,13,8.249474
-17.0,17,8.252007
-13.0,13,8.253967
-115.0,16,8.256082
-17.0,17,8.258486
-13.0,13,8.260401
-15.0,15,8.262658
-13.0,13,8.264467
-13.0,13,8.266607
-13.0,13,8.268744
-13.0,13,8.270624
-13.0,13,8.272371
-13.0,13,8.274359
-123.0,24,8.413456
-15.0,15,8.41584
-15.0,15,8.417975
-13.0,13,8.419826
-13.0,13,8.422194
-13.0,13,8.424108
-13.0,13,8.426004
-13.0,13,8.428113
-120.0,21,8.43179
-13.0,13,8.434228
-13.0,13,8.436525
-13.0,13,8.438976
-13.0,13,8.44126
-13.0,13,8.443619
-17.0,17,8.446158
-15.0,15,8.448361
-13.0,13,8.450794
-16.0,16,8.591672
-13.0,13,8.593944
-119.0,20,8.596899
-13.0,13,8.599055
-13.0,13,8.600967
-15.0,15,8.603562
-13.0,13,8.605569
-13.0,13,8.60779
-15.0,15,8.610262
-121.0,22,8.613567
-15.0,15,8.615586
-13.0,13,8.617615
-13.0,13,8.619319
-13.0,13,8.620981
-13.0,13,8.623123
-13.0,13,8.624982
-13.0,13,8.626758
-13.0,13,8.628669
-15.0,15,8.782397
-13.0,13,8.784507
-17.0,17,8.787023
-15.0,15,8.7892
-13.0,13,8.790988
-13.0,13,8.792997
-120.0,21,8.795994
-13.0,13,8.798189
-13.0,13,8.800103
-13.0,13,8.802233
-13.0,13,8.804302
-15.0,15,8.80642
-13.0,13,8.808263
-15.0,15,8.81074
-13.0,13,8.812591
-13.0,13,8.814508
-15.0,15,8.816757
-15.0,15,8.819005
-13.0,13,8.957055
-15.0,15,8.959203
-13.0,13,8.961359
-14.0,14,8.963583
-13.0,13,8.965499
-13.0,13,8.967631
-120.0,21,8.970739
-13.0,13,8.972918
-15.0,15,8.974992
-13.0,13,8.977092
-13.0,13,8.978871
-13.0,13,8.980779
-14.0,14,8.982878
-13.0,13,8.984671
-13.0,13,8.986466
-13.0,13,8.988605
-121.0,22,8.991578
-13.0,13,8.993469
-122.0,23,9.129356
-17.0,17,9.132112
-13.0,13,9.13408
-13.0,13,9.13625
-118.0,19,9.139014
-13.0,13,9.141125
-117.0,18,9.143896
-13.0,13,9.145776
-123.0,24,9.148901
-118.0,19,9.151743
-13.0,13,9.153802
-117.0,18,9.156066
-13.0,13,9.158129
-13.0,13,9.160267
-116.0,17,9.162715
-13.0,13,9.164609
-13.0,13,9.299311
-13.0,13,9.301716
-13.0,13,9.303667
-13.0,13,9.305605
-15.0,15,9.307972
-13.0,13,9.310115
-13.0,13,9.312121
-13.0,13,9.314363
-14.0,14,9.31631
-13.0,13,9.318394
-13.0,13,9.320453
-120.0,21,9.323408
-15.0,15,9.325257
-13.0,13,9.327461
-13.0,13,9.329375
